Iteration,Selected Features,Accuracy,Precision,Recall,F1 Score,AUC-ROC
8637,"['total night calls', 'total eve charge', 'voice mail plan', 'total eve minutes', 'number vmail messages', 'total intl charge', 'total day minutes', 'total intl calls', 'account length', 'total day charge']",0.889055472263868,0.7555555555555555,0.35051546391752575,0.4788732394366196,0.6656086091517454
8638,"['customer service calls', 'total intl minutes', 'total eve calls', 'total day calls', 'total day minutes', 'international plan', 'total night minutes', 'total intl calls', 'total night charge', 'total eve charge']",0.9205397301349325,0.7894736842105263,0.6185567010309279,0.6936416184971099,0.7952432627961658
8639,"['voice mail plan', 'total intl minutes', 'customer service calls', 'total day charge', 'total eve minutes', 'total day minutes', 'total night minutes', 'total eve charge', 'international plan', 'total intl calls']",0.9460269865067467,0.9066666666666666,0.7010309278350515,0.7906976744186046,0.8443751130403327
8640,"['total eve calls', 'total eve minutes', 'total night minutes', 'total day calls', 'international plan', 'number vmail messages', 'voice mail plan', 'total night charge', 'total intl charge', 'account length']",0.8710644677661169,0.7894736842105263,0.15463917525773196,0.25862068965517243,0.5738108156990414
8641,"['total intl minutes', 'total intl charge', 'total eve minutes', 'total eve calls', 'total night minutes', 'account length', 'voice mail plan', 'number vmail messages', 'total eve charge', 'total intl calls']",0.8440779610194903,0.1111111111111111,0.010309278350515464,0.018867924528301883,0.49813709531560857
8642,"['total eve calls', 'total eve charge', 'number vmail messages', 'total eve minutes', 'total night calls', 'total intl minutes', 'total intl charge', 'customer service calls', 'voice mail plan', 'international plan']",0.8710644677661169,0.6222222222222222,0.28865979381443296,0.3943661971830986,0.6294176162054621
8643,"['account length', 'total night calls', 'total eve minutes', 'total intl minutes', 'total intl charge', 'number vmail messages', 'international plan', 'total eve calls', 'total day charge', 'customer service calls']",0.9265367316341829,0.8870967741935484,0.5670103092783505,0.6918238993710691,0.7773648037619821
8644,"['customer service calls', 'total day calls', 'international plan', 'voice mail plan', 'total night charge', 'total intl minutes', 'total eve calls', 'number vmail messages', 'total intl calls', 'total night minutes']",0.8860569715142429,0.6842105263157895,0.4020618556701031,0.5064935064935066,0.685241454150841
8645,"['customer service calls', 'total eve calls', 'total intl minutes', 'international plan', 'total intl calls', 'total intl charge', 'total night minutes', 'total day minutes', 'account length', 'total eve charge']",0.9190404797601199,0.7721518987341772,0.6288659793814433,0.6931818181818181,0.7986435160065111
8646,"['total day charge', 'voice mail plan', 'total intl calls', 'account length', 'total intl minutes', 'customer service calls', 'total day minutes', 'total day calls', 'total eve calls', 'total eve minutes']",0.9100449775112444,0.8032786885245902,0.5051546391752577,0.620253164556962,0.7420510037981553
8647,"['number vmail messages', 'total day charge', 'voice mail plan', 'total eve charge', 'total intl charge', 'total day calls', 'total intl minutes', 'total night minutes', 'international plan', 'total eve calls']",0.904047976011994,0.8837209302325582,0.3917525773195876,0.5428571428571429,0.6914903237475131
8648,"['voice mail plan', 'total night charge', 'total day minutes', 'total eve calls', 'account length', 'total eve minutes', 'total intl minutes', 'international plan', 'total eve charge', 'customer service calls']",0.9340329835082459,0.9076923076923077,0.6082474226804123,0.728395061728395,0.7988605534454694
8649,"['total intl calls', 'total day calls', 'total intl charge', 'account length', 'total eve charge', 'number vmail messages', 'total intl minutes', 'international plan', 'total night charge', 'customer service calls']",0.8995502248875562,0.7678571428571429,0.44329896907216493,0.5620915032679739,0.7102459757641527
8650,"['total intl calls', 'account length', 'total day minutes', 'voice mail plan', 'total night charge', 'total intl charge', 'total eve charge', 'international plan', 'total eve minutes', 'number vmail messages']",0.9235382308845578,0.9107142857142857,0.5257731958762887,0.6666666666666667,0.7585006330258636
8651,"['total night calls', 'total night charge', 'voice mail plan', 'customer service calls', 'total night minutes', 'total day charge', 'total eve charge', 'total intl calls', 'total intl charge', 'total eve minutes']",0.9175412293853074,0.875,0.5051546391752577,0.6405228758169934,0.7464369687104359
8652,"['account length', 'voice mail plan', 'total eve calls', 'total eve charge', 'total night minutes', 'total night calls', 'international plan', 'total night charge', 'total day charge', 'total intl charge']",0.9010494752623688,0.8974358974358975,0.36082474226804123,0.5147058823529412,0.6769035992041961
8653,"['total night charge', 'total day minutes', 'total night minutes', 'total day calls', 'voice mail plan', 'customer service calls', 'international plan', 'total eve minutes', 'number vmail messages', 'total day charge']",0.9130434782608695,0.8421052631578947,0.4948453608247423,0.6233766233766234,0.7395279435702659
8654,"['total eve minutes', 'total night calls', 'total eve calls', 'customer service calls', 'total intl minutes', 'account length', 'international plan', 'total eve charge', 'total day minutes', 'total intl calls']",0.9130434782608695,0.7532467532467533,0.5979381443298969,0.6666666666666666,0.7823024054982818
8655,"['customer service calls', 'total eve calls', 'number vmail messages', 'total day charge', 'international plan', 'total night minutes', 'total intl charge', 'total eve minutes', 'total night charge', 'total intl minutes']",0.9310344827586207,0.8923076923076924,0.5979381443298969,0.7160493827160493,0.7928287212877554
8656,"['total day minutes', 'account length', 'voice mail plan', 'total intl minutes', 'total day charge', 'customer service calls', 'total night minutes', 'total eve calls', 'total intl calls', 'total night calls']",0.8800599700149925,0.6545454545454545,0.3711340206185567,0.4736842105263158,0.6689003436426116
8657,"['total night charge', 'total eve minutes', 'total eve calls', 'total day charge', 'total intl charge', 'total eve charge', 'total day minutes', 'number vmail messages', 'international plan', 'total night minutes']",0.9190404797601199,0.9574468085106383,0.4639175257731959,0.6250000000000001,0.7302043769216857
8658,"['total night calls', 'total intl calls', 'customer service calls', 'total eve minutes', 'total day charge', 'total night minutes', 'total day calls', 'total eve charge', 'total intl charge', 'total night charge']",0.8950524737631185,0.7288135593220338,0.44329896907216493,0.5512820512820512,0.7076143968167842
8659,"['total night calls', 'total night charge', 'customer service calls', 'total day minutes', 'account length', 'total day charge', 'total intl minutes', 'total day calls', 'total eve calls', 'total intl calls']",0.8725637181409296,0.6,0.3711340206185567,0.4585987261146497,0.664514378730331
